rating;review
1;tidak bagus layanan nya!! mempersulit/ menunggu!!! padahal duit duit nasabah!!! mau transaksi jadi sulit
1;kenapa tidak ada pilihan negara Indonesia pada saat mau memasukkan nomor telepon, pada saat baru mau login
1;sumpah nyebelin banget biasanya kalau m-bankingnya ke blok pas di rest udh langsung jadi ngpain ngeblok nomor yang terhubung ke M-bankingnya bikin ribet tobat gw make ini gjls
1;my BCA sy selalu bermasalah..
1;min nomor ku ke blokir cara aktifkan lagi gimana tolong dong
1;kalau masuk sering gak jadi padahal jaringannya bagus, kuita banyak, mohon deh hrus di prhatikan lagi yg kayak ginian ya, klo org lagi urgent kan susah
1;ribet kontol verifikasi mukanya bego
1;bug pas login,masukin nomor handphone tidak ada kode negara indonesia
1;payah nggak ada kode negara idonesianya ketika mau masukan nomer
1;tiap mau log in pasti bermasalah mulu di verifikasi udah nengok sana sini. mangap sampe kayak kuda nil... tetep aja gagal terus sampe lebih dr 10x... selalu tiap log in bermasalah di verifikasi wajah... berasa senam muka... posisi udha ditempat super terang btw,.. SUPER TERANG...
1;KENAPA MYBCA HARI INI GAK BISA DI AKSES YA FINGER PRINT?
1;kesulitan dalam proses verifikasi wajah padahal sudah mengikuti intruksi di bawah pada saat verifikasi wajah
1;aplikasi nya ga bisa di buka. udah capek
1;setiap kali tf ke rek BCA potongannya besar hampir 20 ribu.. mahal banget.. belum lagi uang di rek tiba2 hilang.. makanya males simpan uang di rek. takut tiba2 lenyap. ini baru tf ke rek, tiba2 aplikasi gak bisa kebuka. gangguan jaringan.. kacau banget
1;mau daftar no hp, ngga ada kode negara INDONESIA gmn si !
1;susah uey mau buka rek baru,dari kemaren2... opsss...opsss terus.
1;APLIKASI SERING EROR LOG IN GAGAL TRANSFER GAGALL APLIKASI SUDAH UPDATE PERANGKAT SUDAH UPDATE
1;"saya ingin menyampaikan komentar/ulasan dalam verifikasi kode OTP ""Kenapa kode OTP yang dikirim sangat lama sekali? hanya itu saja komentar/ulasan saya tolong diperbaiki untuk pihak developer. Terima kasih"
1;kepada: yth : Bca dengan ini saya menyatakan : utang udah lunas,kenapa masih di tagih,kalau utang udah lunas,jangan di tagih,malu Sama nama Bca,,, jangan sampai 7 keturunan,1 kluarga sial seumur hidup,,, terima kasihh
1;request otp sampe pulsa habis gk nyampe2 otpnya. sudah gitu masuk ke verifikasi muka semua di ikuti tiba2 aplikasi ketendang halaman login bca idnya ke blokir. sampah2
1;verifikasi wajah payah... deposito gue masih ada di app ini jd bikin khawatir krna ga bisa login ulang.
1;maap saya kasih bintang 1 UI nya terlalu mudah, uang saya cepat habis
1;"susah masuk vermuk nya lama buka mulut udh mangap"" gak selesai"" udh pegel aing buka mulut"
1;app cacat fervikasi mukak ndk bisa, tolong di perbaiki pihak aiti bca, klo ndk bisa biar saya yg perbaiki
1;kebanyakan Error nya masukin id terus dan memakan pulsa terus aneh
1;Alpikasi Burik mau login aja Susah Uninstall aja
1;teralalu lama loadingnya
1;Tolong developer jangan terlalu ketat, kami pengguna custom rom dan root gak bisa pakai aplikasi myBCA, kami custom rom dan root cuma ingin memaksimalkan kemampuan android seperti untuk kamera, game dll bukan untuk hal-hal yang negatif, fakta di lapangan dan di forum, belum pernah ada cerita user custom rom/root kena hack atau perangkatnya diexploitasi, karena sebenarnya mereka lebih tau cara mengamankan perangkat dari pada pengguna awam.
1;kecewa banget sama bca kenapa coba OKU timur di blacklist orang yang ga tau apa apa jadi kena imbasnya kaya anak zaman sekarang ga tau apa apa mau bikin ATM bca di persulit minta ampun dengan alasan ini lah itu lah, terpaksa harus balik ke okut buat bikin ATM bca doang, udah buang buang waktu tenaga dan cuti libur emangnya sini ke Sumatra deket, helloo, tolong dong kita yang anak baru merantau terus disuruh bikin bca ga bisa, apa ga kasian apa harus balik kampung dulu cuman buat ATM bca doang
1;susah dan ribet, suruh vc tp GK bisa bisa
1;makin parah makin ribet karena skrg makin gak jelas verivilasi ke cs pun gak bisa bantu tolol bgd
1;ini gimana dah gw udh tinggal verif muka tapi ga bisa bisa udh diikutin instruksinya juga tetep ajh gagal terus, udh gitu ga bisa dilewati lagi atau mungkin dilain waktu, abis²in waktu ini tolong dong sistemnya, udh sesuai loh yang diarahin ga make penutup dan diruang terang juga diikutin instruksinya haduhb mengecewakan
1;mohon maaf kenapa saya tidak bisa mendaftar BCA,pas saat penyimpanan data
1;hp samsung s20 ultra soal kamera jangan di hiraukanlah,sepertinya memang apk ini (mybca) hanya di khususkan untuk good looking, dan anehnya itu pas mau daftar malah pencahayaan kurang hello dev kalo bisa di benerin lagi apk nih
1;gak jelas sandi udh sesuai ttp ajh salah
1;saya baru download, terus saya susah bener mau masuk ke mybca, langkah langkah nya gtu lagi ke situ lagi sampai 10x saya gagal terus, cape bgt mana pulsa kepotong
1;sangat mengecewakan
1;kenapa ketika aku ingin daftar online kemarin tu dipersulit sekali. alamat diktp dan di KK aku beda. apakah harus sama?
1;kenapa tidak bisa daftar? pas masuk ke verifikasi wajah malah disuruh matikan mode developer padahal saya tidak pernah aktifkan itu
1;pelayanan sampah , uang ketika setor tunai di mesin ATM , muncul transaksi berhasil, , , TAPI KENAPA SALDO DI REKENING TIDAK BERTAMBAH WAHAII PENYELUNDUP UANG, , BCA ???? KALI BILANG SISTEM NORMAL DARI TANGGAL 4-01-2026 HINGGA TANGGAL 5-01-2026 REKENING BCA SAYA GK BERTAMBAH SALDO
1;baru di buka tau tau di potong 40rb hadeuh
1;sumpahhh ini apk ga jelas bgt BCA id. ku malah terblokir
1;kenapa pas verifikasi wajah gak bisa layar langsung putih
1;ada bug pas isi pin atau password tiap mau transfer atau transaksi , kalau di ketik delay tiba tiba pin salah. versi sebelumnya tidak begini. semoga berbenah
1;tidak bisa main gacha bca, disuruh update terus padahal udah update.!!!!
1;orang tlp suruh sebutin nama sudah benar di bilang salah.. ngabisin pulsa doank
1;apk ancur makin kesini makin ancur
1;saldo suka hilang sendiri dan di cek riwayat transaksi gak ada pengeluaran
1;"tolong dong min, barusan saya melakukan transaksi lewat QR tapi malah ada bacaan "" mohon maaf lagi ada gangguan "" nah malahan uang saya kepotong 100 ribu, tapi biasanya kan klo gangguan gitu uang saya balik lagi, tapi ini mah malah gak balik lagi uang saya, malah saya yang tekor, tolong dong di bantu"
1;"aneh tiba"" keblokir terus"" an padahal sandi sama id masukinnya bener"
1;bner2 bintang 1, aplikasi jelek, ga bisa dipakai, mau masuk hrs log in terus2 an berkali kali, udh kirim OTP berkali kali, aplikasi ga guna.
1;ga masuk masuk hadeh
1;perbaiki plisss masih suka erorrr, saya sering banget pake aplikasi ini mungkin sehari bisa 8 kali transaksi. waktu di pake awal2 gak masalah tapi kalau udah lama banget suka eror. mulai dari pembayaran yang gagal, TF, Qris, Va semua eror jadi saya harus nunggu dulu berjam2 sampe kembali normal. kalau urgent banget apalagi di tempat umum suka ganggu, dan misal eror nya keterusan harus un install aplikasi login lagi pake pusla biar bisa. dan ini udah beberapa kalinya saya login2 ulang ke apk
1;TUMBEN BCA BIKIN APLIKASI KUALITASNYA JEBLOK
1;kena potong mulu herannn
1;rajin amat update aplikasi
1;tolong dong kalo udah buat rekening dan sudah verivikasi kode otp, jangan lagi di buat suruh kode otp. nomor telpon saya, sudah ga aktif lagi. ganti ke yang kemaren lah aplikasi my bca, jadi ribet. kalo ga bisa, pecat aja staf programing dan staf operational system.
1;Sering error pas butuh buat bayar Qris atau TF, muter² mulu akhirnya gagal. Smp berkali-kali. Ujung²nya bayar pake Livin', parah banget Edited : klu alasan dr koneksi/sinyal harusnya pake M-banking lain jg sama gk bisa, ini ganti pake M-banking lain lgsg sukses dan ini sangat sering terjadi.
1;gbisa dibuka
1;mantap
1;ok
1;aplikasi baikkkk
1;pembukaan rekening online susah
1;SETIAP ATUR ULANG HP, SETIAP VERIFIKASI MY BCA SELALU SAJA GAK PERNAH BISA VERIFIKASI WAJAH BEGITU JUGA KALAU DATANG KE CABANG BCA.. RIBET BANGET SUMPAH. ANEH, TP KALAU DIBUAT MANUAL MELALUI CABANG BCA BARU BISA MASUK NIH APLIKASI, MASA TIAP MAU LOGIN ULANG HARUS KE KANTOR CABANG
1;CREDIT CARD saya tidak bisa diatur sebagai sumber dana utama untuk QRIS, tolong perbaiki!!
1;burik
1;bner bner ya parah.. buka rekening baru pas vc susahnya minta ampun, sinya lemah lah, pdhl wifi full sinyalnya.. udh bbrpa kali gtu dan gtu lagi, gedek
1;aneh.. 2026 aktivasi kartu debit harus banget ke ATM atau ke cabang.. bank lain udah bisa di aplikasi.. jadul banget.. logika aja ya.. saya request kartu debit baru via mybca.. pake ongkir 20rb.. karena saya males keluar2 ke cabang.. eh, aktivasinya harus ke ATM/cabang 🤣 ya mending lgsg minta ke cabang.. aktivasi M-BCA juga di ATM lagi.. hadeeh..
1;"CS buruk dan payah. di sini saldo saya tiba"" hilang 50 ribu. di tanya kemana jawaban ke mana. padahal rekening aktif. payah sekali kau BCA"
1;scan muka berkali kali gagal Mulu
1;ah kesedot Mulu, duit gue ilang
1;sangat disayangkan telpon melalui no 1500888 mhal sekali tarifnya habis 20 000 pulsa saya disedot
1;payah skrg , udh buang pulsa aktifin nya verif gagal terus . login akun sendiri aja ribet nya minta ampun
1;"the worse. coba kontrol transaksi dan masukkan pin tapi selalu gagal. disuruh masukin pin transaksi dan kena error padahal pinnya benar dan kalau di menu lain pinnya berhasil. Bank lain egk seribet ini. edit : kalau pinnya salah di menu lain juga bakal gagal lah tapi ini di kontrol transaksi aja dan errornya pun bukan ""pin salah"" -_- ini bank anti banget dikritik. ada masalah juga cuma muter2 di cs, gak ada solusi, gak di forward ke tim development"
1;sulit vermuk GK bisa2 ribet KLO reg nya online
1;aplikasi skrg smngt lemot dn susah login
1;kebanyakan biaya admin!! bank lain mh gk gini
1;aplikasi terlalu lemot untuk HP android dan rakyat
1;loading terus udah 2 hari, udah gitu malah kelogout, jadi mau masuk harus modal pulsa buat SMS berbayar
1;makin update makin paraaaahh
1;kenapa my BCA kok nggak kayak sebelumnya.. sekarang banyak trouble.. tiba tiba uang kepotong dengan sendirinya.. dimutasi pengeluaran nggak ada pemberitahuan
1;kacau BCA tiba-tiba saldo berkurang pas di cek mutasi ke potong biaya kartu 20rb lagi payah, sedangkan awal bikin udh kepotong 50rb pas pembukaan tahapan rekening awal 500rb kepotong 50rb jadi 450rb
1;Sering sebel tiap mau transaksi gagal terus. padahal sinyal lancar pin juga udah benar tp gagal terus tiap transaksi sampai 10x lebih baru bisa astaga😮‍💨
1;kenapa login nya selalu gagal dan di minta login terus padahal data benar
1;ribet
1;org nya sudah kecabang bawa ktp msh dilempar sana sini ..
1;BIKIN RIBET!!!
1;buset ini kenapa lemot gini ya gagal transaksi mulu abis update
1;perbikin lagi dong apknya sering banget error saat mau transaksi
1;Saldo tiba-tiba hilang, tidak ada catatan uang kemana. customer service hanya mengatakan mohon ditunggu laporan sedang diperiksa, namun tidak ada kejelasan lagi berikutnya. apk yang ini sungguh mengecewakan.
1;lemott banget , kebayang lagi pengen transaksi cepet malah lemot
1;Aplikasi jelek padahal sudah punya ID nya n passwordnya udh bener tp muter2 registrasi no mulu muak banget coba yg Aplikasi satunya udh bisa n gk ribet my bca aq un instal!!!!
1;agak jengkel padahal registrasi sudah semua eh giliran mau disimpan selalu muncul keterangan Ooops.. Terjadi Kesalahan silahkan coba lagi.. padahal jaringan gak bermasalah semua ok2 aja tapi pas mau disimpan selalu muncul keterangan tersebut sudah saya coba berulang kali tetap sama aja, kecewa!!!
1;susah verifikasi wajah, tolong di bca mobile tambahkan e-statement, karena mybca sulit verifikasi wajah.
1;masukin pin aja lemot bener bagus versi lama update Mulu tampilan sama aja
1;ribet, mau login aja harus pake pulsa. padahal mah kasih aja kode otp nya doang, kaga usah tuh pake pulsa segala
1;ribet daftar nya berbelit belit
1;berat banget di sinyal padahal jaringan bagus
1;verifikasi muka gagal terus, sesuai instruksi juga masih gagal🥲
1;rusaakkk
1;Mas mba , hp saya sama sekali tidak bermasalah, aplikasi pun sudah menggunakan versi terbaru , tapi kenapa mau ganti bahasa ga bisa? kenapa? kenapa?
1;CS HANYA BISA MENYAMPAIKAN UNTUK DITERUSKAN KE TIM TERKAIT. PIHAK BACK OFFICE BCA YG LELET KERJANYA TERLINDUNGI BANGET DENGAN ADANYA CS.
1;nyusahin susah proses nya dibikin ribet pindah ke hp yg lain
1;jelek
1;ni tolong dong setiap saya ada saldo selalu ilang trus ke noll lgi saldo nya padahal saya ada trus isi saldo nya tpi kenapa ngga bisa jga gimana si BCA tanggung jawab dong
1;uang ku kok tiba tiba ilng langsung 00 loh anehhh...setidaknya KLO kepake masih ada ratusan ini 000 tiba tiba bangettt anehhh gimana sih baru aja download udh ilngg
1;saya bikin akun mybca kenapa waktu verifikasi video ga bisa terus ini mendesak gimana sih padahal jaringan baik baik aja
1;ini beneran verif login masih gak bisa juga 2 Minggu?, sidik jari gak bisa di akses,dll,gimana dah,tolong update
1;promosinya TDK sesuai kenyataan, katany mau dapet bonus tapi SDH 2minggu blm Dateng juga vocer blanjanya.
1;baru daftar belum memasukan id card sudah di blokir diharuskan menghubungi nmr 1600888 tpi tidak bisa dihubungi daftar ulang tetap tidak bisa, sementata untuk daftar ke kantor terlalu jauh dari daerah saya
1;respon lambat. KODE negara tida muncul
1;kacau pas verivikasi muka knp gagal trs, pdhl udh ikut instruksi buka mulut, tengok kanan kiri. Aplikasi bosok
1;sangat lemooottt sekaliii untuk qris loading lama sekali dan sering terjadi kendala
1;cape banget udah beberapa kali telponan dengan costumer service cuman buat benerin BCA id yang keblokir Mulu.
1;kena scam/fraud dan segala bentuk penipuan lainnya.bank tidak akan bertanggung jawab untuk refund atau pengembaliaanya.hanya sebatas pelaporan yg sama sekali tidak penting saja.Jadi baiknya sangat berhati2.periksa 100 kali sebelum transfer.ingat bank tidak akan membantu
1;APLIKASI LAMBAT!!! GAGAL MASUK KE MENU BERANDA HAMPIR 10 MENIT LEBIH
1;gabisa masukkkkkk wajahhhh tidak terdeteksi terusss padahal sudah di tempat terang tapi Masya Allah apl iniiii kecewa
1;saldo berkurang tiap hari, aneh
1;saldo gua hilang 69k yg 19k transaksinya ada di mutasi tapi yg 50k hilang aneh2
1;sudah saya menggunakan akses lewat biometrik tapi tiba² tidak bisa dan malah diblokir
1;kenapa saat saya login harus verif nomer handphone dulu? menguras waktu lalu kadang pesan otp tidak terkirim
1;eror mulu fangkehhhhh
1;makin lama potongan di mybca makin besar.. dari mulai saldo yang tiba tiba ilang,pas di telpon bilang nya saldo di tahan tapi tidak ada mutasi atau pemberitahuan apapun.terus tiap bulan potongan mybca di mutasi ada pemberitahuan biaya admin 5rb tapi saldo nya ilang lebih dari 5rb. bahkan 40rb.harusnya kalo saldo di tahan itu ada nominal nya seperti aplikasi Livin mandiri, jadi terlihat ada saldo walaupun ngga bisa di ambil, . sedangkan ini saldo ngga ada potongan besar ngga menentu tiap bulannya
1;lemottt parah
1;jangan pake BCA potongannya gede banget 21k kurang lebih najis gw mah padahal sesama BCA dari yang gw kirim 405k bersih yang gw Terima 385k coba itu
1;aku gagal verifikasi wajah
1;ini mau login ko gak bisa ya gagal mulu
1;aplikasi ribet salah 2 kali masukin sandi karna lupa hurup pertama bukan hurup besar malah suruh hubungi lagi di tambah kalo mau verifikasi SMS harus ada pulsa padahal id bca nomor bca atau kartu ada gk cukup ngebuktiin kalo kita pemiliknya malah di suruh yang ribet
1;apa sih apk satu ini . id n pass bener malah di blokir . telp cs mana mahal pulsa 50rb cuma 10mnt udah gtu suruh tunggu
1;setiap proses input pin saat transfer muncul ooppss terjadi kesalahan sangat mengganggu
1;Hp saya gpp. restart udah. unistall udah. lapor BCA udah tetep GAK BISA!! GIMANA INIIIIIII
1;kenapa apk nya keluar sendiri ya pas verifikasi wajah saya menggunakan tablet Poco ada solusi gak
1;"Gak jelas ni aplikasi. mau reset password aja dipersulit. nomor aktif malah bilangnya ""Nomor Handphone ini tidak dapat digunakan untuk transaksi"" padahal sebelum sebelumnya lancar aja pake mybca. gk jelas lu"
1;update mulu, bikin memory full
1;pembaruan terussssss
1;apk aneh padahal kode Verifikasi sudah benar tapi gagal terus
1;gak ngapa ngapain tiba tiba BCA ID terblokir, aneh
1;sering minta update terus nih
1;aplikasi tolol, gabisa dibuka blgnya perbaikan sistem smpe jam 4 subuh. trus kalo semisal ada keadaan darurat atau apa di jam segini, tengah malem mau gmn? aneh kalo gitu ga akn prnh gua make apk ini lagi gajelas
1;tidak dapat update tolol
1;pemeliharaan lama banget,gue mau bayar jdi gabisa nunggu ber jam jam!!
1;setelah update malah cuman bs bilang sabar2 sambil ngelus dada..
1;masa saldo kepotong terus sihhh...udh kepotong 50 pas diisi masih kepotong lagi..kocak emg
1;traksaksi gagal terus padahal pin benar, transfer gagal harus berkali kali baru bisa , bayar ini itu gagal gagal dan tetap harus berkali kali. Sekelas bca loh padahal. aneh bgt ini
1;BCA kenapa ini, sehari 2x di blokir wkwkwk, padahal pass ga salah, kocakkkk kocakkk
1;masa tidak ada kode indonesia di kolom nomor aneh sekali.
1;BEGOOO MAU DAFTAR NOMOR HANDPHONE KODE NEGARA INDONESIA GA ADA
1;Ribetnya minta ampun mau login aja. Aplikasi bank lain ga seribet ini. Kalau memang mengharuskan nasabah ke kantor cabang buat login awal buat apa aplikasinya?. Foto KTP & Foto Wajah gagal terus. Padahal sudah di ikuti semua maunya app.
1;setelah d update malah tambah bug gk bisa d bukaaaa, susah buka aplikasinya
1;memasukan pin untuk transaksi sesama bca, jadi terlalu delay, yang sebelumnya bisa cepat, kalo ke VA atau qris aman ajaa, jadi kesel ajaa, tiap transaksi, harus nunggin pin nya masuk satu per satu, agak ngeselin, apalagi kalo misalkam lagi rame atau lagi banyak yang harus di tf...
1;"pengeluaran yang gak jelas dan tiba"" ada potongan saldo"
1;terus aja saldo saya dipotong trus gila Yee
1;plis jangan pake apk ini. uang sering ilang sendiri tanpa ada catatan dimutasi
1;mau masukan no HP dengan kode negara tidak di temukan
1;"bank BCA ribet mau buka rekening buat nabung aja dipersulit beda sama bank"" yg lain"
1;pelayanan buruk . hp habis diriset gabisa masuk m banking lagi masa iya harus ke kantor cuman buat login mbanking
1;"saldo banyak,setiap mau buat transfer Qris selalu gagal aneh banget ni aplikasi,pin juga benar,selalu tulisan nya oppss terjadi kesalahan,benerin lah,udah pakai banyak aplikasih bank,ga se ribet ini,masa urgent mau bayar apa2 selalu ngulang bolak balik karna tiba2 ""oppsss ada kesalahan"" bikin malu aja"
1;aplikasi tiba tiba terlogout sendiri giliran mau login lagi tidak bisa . tidak menerima kode otp . padahal nomor aktif pulsa jg ada
1;Niat bikin aplikasi gk sih? buat Transfer atau bayar QRIS selalu gagal dan selalu terjadi berulang ulang, login bisa, begitu dipakai transaksi Transfer atau QRIS selalu gagal, kalau gk niat bikin aplikasi mending hapus aja, daripada capek mengulangi terus, coba cek Log akun saya kalau gk percaya.
1;ribet mau bikin akun sudah kek mau pinjol pakai kk pakai apa ribet tolong segera di perbaiki
1;makin update makin susah login ajgh
1;sering bgt kalo malem ga bisa tf padahal sinyal full, buka apk lain juga lancar2 aja
1;wahh berarti gak cuma saya ya yang bermasalah saat login verifikasi wajah di perangkat tab, tolong dong bantu bisa menyelesaikan permasalahannya
1;tiba2 ilang 50k
1;apaan sih giliran udah udah abis waktunya baru nongol kode nya ga jelas tolong dong di percepat proses pembuatan nya
1;ko nggk ada kode Indonesia
1;nge lag terus cih
1;layanannya jelek banget, di bilang belum nyetak kartu tapi maksa banget buat tau, layananya juga ga ramah malah bilangnya nanti nanti lagi, padahal cuma mau login rekening doang, makin ke sini makin ribet, maaf dari gw untuk costumer service jelkkkkkkkk ga ramah
1;kenapa verifikasi wajah saya gagal terus? aplikasi anehh gajelas tolong di cek dan dibantu
1;engga rekomendasi buat dipakai
1;Akun biadap terus terusan di biarin gak tau diri di potongan 10k saldo gw udh brp kali sama rampok yg 1 ini membebani rakyat kecil tolol yg kyk gini
1;Aplikasi eror, mau log in susah, sudah log in keluar sendiri.
1;sering gangguan / error dalam penggunaannya, TF dan transaksi lainnya.. semoga segera di perbaiki dan di atasi
1;"saya bingung ini aturan ga logis kenapa ya kode otp pas ganti akun cuma berlaku 90 detik, coba dipikir pesan baru masuk pas udh 2 menit, cuma habisin pulsa doang ga bisa login, bca id langsung terblokir gr"" spam otp ga jelas sistemnya pas terbuka juga diblokir lagi nanti emang parah"
1;Entah masalah kartu atau apa ngga tau, intinya ke logout sendiri pas mau login ulang kode otp nya gada yang datang Pdhal pulsa ada kartu di slot sim 1 internet lancar2 aja, sampe ke blokir tetep aja otp nya ga ada yang muncul:)
1;"udah bener"" login dibca malah tbtb suka ke log out sendiri dari akunnya, mana verifikasinya pake pulsa lagi minim keluar uang 7/8k lagi udah 2x gw ngalamin. satt emang"
1;aplikasi tololl!! lemot muter aja terossss
1;aplikasi sering maintenance di malem hari. susah klo buat transaksi trading
1;MAKIN KESINI MAKIN TOLOL AJA INI APLIKASI, MANA LEMOT BANGET SERING GANGGUAN LAGI.
1;maintenance terus mau bayar jadi gagal mulu mau mindahin dana juga gabisa hadehhhhhhh
1;aplikasi ku ga bisa di buka huwaaaaaa, mental terus kalo di bukaaaa
1;sy buka aplikasi ini tapi ketika ingin masukan no hp kode negara indonesia tdk ada
1;aplikasi sangat berat, sinyal normal,jaringan sudah stabil, pada saat mau login & bayar aplikasi loading terus
1;tolong untuk transfer yg masuk agar lebih detail keterangan nya.misal jam nya dan dari aplikasi apa. soalnya saya kesulitan mengecek atau mencocokkan bukti transfer dengan mutasi rekening saya.terima kasih 🙏🏻🙏🏻🙏🏻..... mohon maaf kok tidak ada tindak lanjutnya ya tentang keluhan nasabah
1;GA ENAK INI GA BISA COPY PASTE NOMINAL LANGSUNG. Habis update ga bisa paste langsung nominal hasil copy an pakai titik. Input pin tidak selancar sebelum update. JAWABAN JANGAN TAMPLATE.
1;udah di proses tapi malah gak bisa masuk co
1;tidak ada kode negara indonesia , jadi tidak bisa login
1;maaf gk pake lg bca gampang banget ke blokir nya cape hubungi halo bca 🙏🙏
1;tf qris gagal terusss,, sekali berhasil langsung 2x, payahhhh
1;nyesel download dan daftar my bca banyak potongan pernah potongan otomatis 17 ribu ,dulu biasanya kalau saldo BCA 0 ga terpotong lho skrng bnyk bngt potongan kalao saldo 0 dipotong 10 Udha mah gaji saya cuman 300 hidup merantau ya kalau di simpan saya beli kebutuhan gimana aga ragu juga saya simpan saldo di my BCA takut tiba tiba terpotong soalnya pernah begitu syaa
1;di update terbaru saya tidak bisa reset password. ketika saya masuk ke menu masukkan password yg baru, dia selalu kembali ke menu masukan id dan nomor kartu. begitu terus berulang-ulang. sudah saya lapor ke cs bca. malah disuruh restart hp dan cek koneksi. hadehhh yang bener aja, tolong diperbaiki lah.
1;Mau login aja ribet banget, contoh noh BNI wondr ga seribet ini.pake harus video call dulu ama staff nya
1;suka eror
1;kenapa sih kalau QRIS suka lemot. kecewa
1;Sistem eror kok tidak bisa memperbaiki. Dan berkesan menyalahkan nasabah
1;Makin kesini makin Lelet bikin emosi myBCA
1;app lemot
1;susah bener login banyak aturan, bikin ribet aja
1;aplikasi ribet asli mau login riset password harus tlp cs terus harus vidiocall beda sama bank lain.
1;verifikasi foto gagal terus jadi emosi gua
1;update nya terlalu sering,FIF pembayan ga ada ga lengkap
1;opp opp opp terus padahal urgen masak harus ke atm jadi gk ada gunanya jugaa
1;daftar MyBCA malah muter-muter di pendaftaran, kirim SMS otp sampai pulsa habis
1;gangguan kah ?? sudah masukin pasword & pin pun dg BNR Msh terblokir 🤭 dtg ke ATM dibimbing sekuriti open blokir begitu belanja pk barcode msh terblokir 🤣 sdh tlp bebas pulsa diminta ke cs, KTP sdh dikasih malah diminta update ke Disdukcapil 🤭 OMG ~ ribet amat sampe owe ngutang kewarung utk belasan ribu cuma gara2 blokir barcode
1;aplikasi jelek gabisa buat reset Pasword aneh updatena skrg bukanya makin bagus malah makin Jelek !
1;delay bgt anying pas masukin pasword transfer nya
1;sumpah jelek banget gak bisa transaksi sama sekali
1;sering eror kalo bayar pake QRIS, akhirnya saldo ke potong, ilang gitu ja
1;lama banget kirim kode verifikasinya, padahal pulsa mencukupi, kagak dikirim kirim, yg ada pulsa abis!
1;jelek banget, mau log in ajh loading banget lama. Padahal internet lancar jaya
1;duh, login susah bener, sudah di scan wajah, ketika buka mulut gagal terus, otomatis aplikasi close sendiri tulisan eror descriptor, Java Runtime bla bla
1;sekali salah pasword gak bisa masuk lagi woi
1;jelek banget sering eror, minimal benerin lah dipilih buat kerja malah sering eror
1;bca kan kaya ngapain telpon cs harus pakai pulsa, untuk bca yg sebesar ini tolong klo custamer ada kendala kalo bisa gak pakek pulsa klo telpon ke cs nya,masa baru beli pulsa sudah kesedot habis semua pulsa saya😠😡
